,STG,SCG,STR,LPR,PEG, UNS
0,0.0,0.0,0.0,0.0,0.0,very_low
1,0.08,0.08,0.1,0.24,0.9,High
2,0.06,0.06,0.05,0.25,0.33,Low
3,0.1,0.1,0.15,0.65,0.3,Middle
4,0.08,0.08,0.08,0.98,0.24,Low
5,0.09,0.15,0.4,0.1,0.66,Middle
6,0.1,0.1,0.43,0.29,0.56,Middle
7,0.15,0.02,0.34,0.4,0.01,very_low
8,0.2,0.14,0.35,0.72,0.25,Low
9,0.0,0.0,0.5,0.2,0.85,High
10,0.18,0.18,0.55,0.3,0.81,High
11,0.06,0.06,0.51,0.41,0.3,Low
12,0.1,0.1,0.52,0.78,0.34,Middle
13,0.1,0.1,0.7,0.15,0.9,High
14,0.2,0.2,0.7,0.3,0.6,Middle
15,0.12,0.12,0.75,0.35,0.8,High
16,0.05,0.07,0.7,0.01,0.05,very_low
17,0.1,0.25,0.1,0.08,0.33,Low
18,0.15,0.32,0.05,0.27,0.29,Low
19,0.2,0.29,0.25,0.49,0.56,Middle
20,0.12,0.28,0.2,0.78,0.2,Low
21,0.18,0.3,0.37,0.12,0.66,Middle
22,0.1,0.27,0.31,0.29,0.65,Middle
23,0.18,0.31,0.32,0.42,0.28,Low
24,0.06,0.29,0.35,0.76,0.25,Low
25,0.09,0.3,0.68,0.18,0.85,High
26,0.04,0.28,0.55,0.25,0.1,very_low
27,0.09,0.255,0.6,0.45,0.25,Low
28,0.08,0.325,0.62,0.94,0.56,High
29,0.15,0.275,0.8,0.21,0.81,High
30,0.12,0.245,0.75,0.31,0.59,Middle
31,0.15,0.295,0.75,0.65,0.24,Low
32,0.1,0.256,0.7,0.76,0.16,Low
33,0.18,0.32,0.04,0.19,0.82,High
34,0.2,0.45,0.28,0.31,0.78,High
35,0.06,0.35,0.12,0.43,0.29,Low
36,0.1,0.42,0.22,0.72,0.26,Low
37,0.18,0.4,0.32,0.08,0.33,Low
38,0.09,0.33,0.31,0.26,0.0,very_low
39,0.19,0.38,0.38,0.49,0.45,Middle
40,0.02,0.33,0.36,0.76,0.1,Low
41,0.2,0.49,0.6,0.2,0.78,High
42,0.14,0.49,0.55,0.29,0.6,Middle
43,0.18,0.33,0.61,0.64,0.25,Middle
44,0.115,0.35,0.65,0.27,0.04,very_low
45,0.17,0.36,0.8,0.14,0.66,Middle
46,0.1,0.39,0.75,0.31,0.62,Middle
47,0.13,0.39,0.85,0.38,0.77,High
48,0.18,0.34,0.71,0.71,0.9,High
49,0.09,0.51,0.02,0.18,0.67,Middle
50,0.06,0.5,0.09,0.28,0.25,Low
51,0.23,0.7,0.19,0.51,0.45,Middle
52,0.09,0.55,0.12,0.78,0.05,Low
53,0.24,0.75,0.32,0.18,0.86,High
54,0.18,0.72,0.37,0.29,0.55,Middle
55,0.1,0.6,0.33,0.42,0.26,Low
56,0.2,0.52,0.36,0.84,0.25,Middle
57,0.09,0.6,0.66,0.19,0.59,Middle
58,0.18,0.51,0.58,0.33,0.82,High
59,0.08,0.58,0.6,0.64,0.1,Low
60,0.09,0.61,0.53,0.75,0.01,Low
61,0.06,0.77,0.72,0.19,0.56,Middle
62,0.15,0.79,0.78,0.3,0.51,Middle
63,0.2,0.68,0.73,0.48,0.28,Low
64,0.24,0.58,0.76,0.8,0.28,Middle
65,0.25,0.1,0.03,0.09,0.15,very_low
66,0.32,0.2,0.06,0.26,0.24,very_low
67,0.29,0.06,0.19,0.55,0.51,Middle
68,0.28,0.1,0.12,0.28,0.32,Low
69,0.3,0.08,0.4,0.02,0.67,Middle
70,0.27,0.12,0.37,0.29,0.58,Middle
71,0.31,0.1,0.41,0.42,0.75,High
72,0.29,0.15,0.33,0.66,0.08,very_low
73,0.3,0.2,0.52,0.3,0.53,Middle
74,0.28,0.16,0.69,0.33,0.78,High
75,0.255,0.18,0.5,0.4,0.1,very_low
76,0.265,0.06,0.57,0.75,0.1,Low
77,0.275,0.1,0.72,0.1,0.3,Low
78,0.245,0.1,0.71,0.26,0.2,very_low
79,0.295,0.2,0.86,0.44,0.28,Low
80,0.32,0.12,0.79,0.76,0.24,Low
81,0.295,0.25,0.26,0.12,0.67,Middle
82,0.315,0.32,0.29,0.29,0.62,Middle
83,0.25,0.29,0.15,0.48,0.26,Low
84,0.27,0.1,0.1,0.7,0.25,Low
85,0.248,0.3,0.31,0.2,0.03,very_low
86,0.325,0.25,0.38,0.31,0.79,High
87,0.27,0.31,0.32,0.41,0.28,Low
88,0.29,0.29,0.4,0.78,0.18,Low
89,0.29,0.3,0.52,0.09,0.67,Middle
90,0.258,0.28,0.64,0.29,0.56,Middle
91,0.32,0.255,0.55,0.78,0.34,Middle
92,0.251,0.265,0.57,0.6,0.09,very_low
93,0.288,0.31,0.79,0.23,0.24,Low
94,0.323,0.32,0.89,0.32,0.8,High
95,0.255,0.305,0.86,0.62,0.15,Low
96,0.295,0.25,0.73,0.77,0.19,Low
97,0.258,0.25,0.295,0.33,0.77,High
98,0.29,0.25,0.29,0.29,0.57,Middle
99,0.243,0.27,0.08,0.42,0.29,Low
100,0.27,0.28,0.18,0.48,0.26,Low
101,0.299,0.32,0.31,0.33,0.87,High
102,0.3,0.27,0.31,0.31,0.54,Middle
103,0.245,0.26,0.38,0.49,0.27,Low
104,0.295,0.29,0.31,0.76,0.1,Low
105,0.29,0.3,0.56,0.25,0.67,Middle
106,0.26,0.28,0.6,0.29,0.59,Middle
107,0.305,0.255,0.63,0.4,0.54,Middle
108,0.32,0.27,0.52,0.81,0.3,Middle
109,0.299,0.295,0.8,0.37,0.84,High
110,0.276,0.255,0.81,0.27,0.33,Low
111,0.258,0.31,0.88,0.4,0.3,Low
112,0.32,0.28,0.72,0.89,0.58,High
113,0.329,0.55,0.02,0.4,0.79,High
114,0.295,0.59,0.29,0.31,0.55,Middle
115,0.285,0.64,0.18,0.61,0.45,Middle
116,0.265,0.6,0.28,0.66,0.07,very_low
117,0.315,0.69,0.28,0.8,0.7,High
118,0.28,0.78,0.44,0.17,0.66,Middle
119,0.325,0.61,0.46,0.32,0.81,High
120,0.28,0.65,0.4,0.65,0.13,Low
121,0.255,0.75,0.35,0.72,0.25,Low
122,0.305,0.55,0.5,0.11,0.333,Low
123,0.3,0.85,0.54,0.25,0.83,Middle
124,0.325,0.9,0.52,0.49,0.76,High
125,0.312,0.8,0.67,0.92,0.5,High
126,0.299,0.7,0.95,0.22,0.66,High
127,0.265,0.76,0.8,0.28,0.28,Low
