,WIFI1,WIFI2,WIFI3,WIFI4,WIFI5,WIFI6,WIFI7,room
1,-68,-57,-61,-65,-71,-85,-85,1
6,-65,-61,-65,-67,-69,-87,-84,1
7,-61,-63,-58,-66,-74,-87,-82,1
12,-63,-57,-61,-65,-73,-84,-84,1
14,-61,-59,-65,-63,-74,-89,-87,1
25,-66,-59,-64,-68,-68,-97,-83,1
34,-63,-57,-62,-65,-76,-82,-88,1
38,-67,-59,-62,-66,-80,-96,-82,1
39,-66,-59,-64,-67,-77,-87,-85,1
41,-67,-59,-62,-65,-71,-91,-84,1
42,-69,-61,-62,-62,-75,-85,-84,1
43,-68,-58,-65,-65,-76,-87,-82,1
47,-65,-58,-64,-69,-81,-88,-90,1
49,-64,-59,-65,-70,-84,-90,-89,1
50,-64,-56,-64,-70,-80,-91,-84,1
52,-67,-56,-65,-68,-82,-96,-89,1
57,-62,-58,-57,-65,-70,-82,-91,1
60,-63,-53,-60,-68,-67,-87,-85,1
62,-62,-52,-61,-66,-65,-85,-89,1
71,-64,-57,-62,-68,-71,-85,-85,1
74,-66,-57,-57,-64,-69,-84,-90,1
76,-60,-57,-55,-66,-69,-82,-89,1
78,-61,-60,-57,-61,-74,-81,-82,1
83,-65,-60,-62,-63,-75,-85,-82,1
84,-65,-60,-62,-68,-69,-84,-89,1
92,-73,-62,-66,-65,-81,-87,-89,1
95,-74,-62,-66,-70,-76,-89,-87,1
96,-71,-62,-63,-69,-75,-85,-87,1
97,-71,-64,-64,-70,-78,-88,-94,1
104,-64,-56,-69,-64,-73,-89,-85,1
105,-60,-57,-60,-66,-76,-82,-80,1
106,-64,-58,-59,-61,-70,-84,-86,1
109,-61,-56,-53,-62,-63,-84,-91,1
110,-65,-56,-55,-65,-68,-85,-93,1
128,-63,-55,-62,-63,-70,-80,-75,1
131,-62,-58,-57,-65,-68,-83,-79,1
138,-62,-60,-64,-74,-76,-81,-91,1
140,-66,-59,-70,-69,-76,-87,-89,1
141,-64,-59,-65,-64,-74,-88,-90,1
146,-63,-58,-65,-66,-73,-86,-89,1
150,-64,-54,-56,-65,-74,-85,-87,1
153,-59,-55,-65,-62,-62,-81,-77,1
154,-63,-52,-56,-59,-66,-80,-80,1
157,-62,-51,-58,-61,-63,-77,-80,1
159,-62,-51,-53,-60,-67,-78,-85,1
161,-60,-53,-60,-62,-73,-81,-82,1
167,-63,-58,-56,-66,-73,-87,-83,1
169,-62,-51,-54,-59,-64,-77,-81,1
174,-60,-58,-62,-61,-62,-81,-84,1
175,-60,-55,-58,-57,-75,-74,-82,1
176,-61,-56,-57,-56,-75,-74,-81,1
177,-58,-55,-59,-58,-72,-77,-81,1
185,-62,-57,-54,-66,-71,-81,-83,1
187,-60,-59,-56,-63,-64,-82,-81,1
198,-62,-56,-63,-66,-74,-82,-80,1
200,-58,-54,-52,-61,-74,-75,-82,1
204,-57,-54,-59,-63,-65,-80,-80,1
214,-62,-56,-59,-68,-74,-95,-84,1
216,-60,-54,-57,-60,-66,-80,-88,1
221,-57,-56,-54,-69,-75,-83,-81,1
228,-61,-62,-64,-65,-73,-81,-90,1
247,-63,-59,-65,-62,-65,-83,-80,1
255,-59,-60,-60,-62,-67,-94,-77,1
261,-62,-53,-61,-59,-74,-84,-81,1
262,-58,-51,-59,-65,-74,-86,-82,1
264,-63,-57,-57,-65,-75,-83,-76,1
265,-64,-57,-56,-63,-68,-85,-81,1
267,-63,-60,-58,-64,-66,-83,-90,1
280,-60,-57,-66,-60,-68,-87,-89,1
287,-66,-53,-59,-62,-69,-81,-79,1
289,-56,-50,-58,-63,-68,-83,-83,1
290,-59,-59,-58,-62,-64,-78,-81,1
291,-60,-57,-58,-66,-65,-77,-80,1
293,-59,-54,-57,-65,-62,-80,-82,1
296,-56,-58,-60,-59,-66,-80,-77,1
297,-57,-59,-58,-66,-67,-78,-82,1
300,-61,-57,-63,-67,-72,-77,-82,1
306,-62,-54,-55,-61,-63,-84,-81,1
307,-62,-54,-58,-64,-65,-77,-85,1
309,-58,-55,-58,-61,-64,-81,-84,1
311,-62,-57,-61,-63,-65,-83,-82,1
314,-62,-57,-63,-67,-66,-87,-80,1
315,-63,-57,-66,-66,-68,-83,-81,1
316,-62,-57,-59,-72,-73,-86,-82,1
326,-62,-59,-59,-64,-65,-80,-81,1
328,-64,-56,-60,-61,-67,-78,-85,1
330,-58,-54,-59,-62,-68,-79,-87,1
332,-56,-55,-56,-59,-64,-83,-83,1
333,-60,-56,-56,-63,-65,-80,-83,1
334,-59,-53,-64,-60,-68,-82,-81,1
338,-61,-53,-53,-61,-63,-77,-81,1
345,-60,-51,-59,-63,-68,-81,-76,1
348,-59,-54,-60,-65,-66,-80,-90,1
349,-61,-59,-62,-65,-66,-81,-83,1
352,-64,-58,-60,-68,-66,-86,-88,1
354,-62,-59,-62,-63,-65,-87,-87,1
358,-61,-59,-54,-65,-66,-81,-89,1
360,-63,-59,-57,-65,-69,-80,-86,1
361,-67,-61,-63,-65,-71,-81,-87,1
365,-65,-58,-61,-71,-69,-87,-83,1
367,-62,-57,-60,-64,-67,-80,-88,1
372,-63,-59,-61,-68,-71,-81,-87,1
373,-63,-58,-61,-67,-69,-86,-85,1
374,-64,-56,-58,-71,-69,-88,-84,1
375,-68,-51,-59,-67,-65,-80,-87,1
381,-63,-61,-61,-63,-68,-82,-83,1
