,precio_compra,precio_mto,n_puertas,n_personas,t_maletero,nivel_seguridad,aceptabilidad
1134,med,med,4,2,small,low,unacc
880,med,vhigh,2,4,big,med,acc
1578,low,med,4,4,med,low,unacc
496,high,vhigh,4,4,small,med,unacc
153,vhigh,high,3,more,small,low,unacc
8,vhigh,vhigh,2,2,big,high,unacc
1312,low,vhigh,2,4,big,med,acc
374,vhigh,low,3,more,med,high,acc
1360,low,vhigh,4,4,small,med,unacc
1040,med,high,4,4,med,high,acc
1336,low,vhigh,3,4,med,med,unacc
1351,low,vhigh,4,2,small,med,unacc
1408,low,high,2,2,med,med,unacc
159,vhigh,high,3,more,big,low,unacc
299,vhigh,med,5more,2,small,high,unacc
1190,med,low,2,2,small,high,unacc
1059,med,high,5more,2,big,low,unacc
1660,low,low,3,4,med,med,acc
376,vhigh,low,3,more,big,med,acc
118,vhigh,high,2,4,small,med,unacc
1306,low,vhigh,2,4,small,med,unacc
1037,med,high,4,4,small,high,acc
1333,low,vhigh,3,4,small,med,unacc
932,med,vhigh,4,4,med,high,acc
1485,low,high,5more,2,small,low,unacc
308,vhigh,med,5more,4,small,high,acc
375,vhigh,low,3,more,big,low,unacc
1076,med,high,5more,more,med,high,acc
819,high,low,4,4,small,low,unacc
652,high,med,2,2,med,med,unacc
563,high,high,2,more,med,high,acc
1398,low,vhigh,5more,more,med,low,unacc
1300,low,vhigh,2,2,med,med,unacc
1533,low,med,2,more,med,low,unacc
1687,low,low,4,4,med,med,good
589,high,high,3,more,med,med,acc
1002,med,high,3,2,med,low,unacc
25,vhigh,vhigh,2,more,big,med,unacc
1484,low,high,4,more,big,high,vgood
959,med,vhigh,5more,4,med,high,acc
765,high,low,2,4,small,low,unacc
1364,low,vhigh,4,4,med,high,acc
151,vhigh,high,3,4,big,med,unacc
1332,low,vhigh,3,4,small,low,unacc
1238,med,low,3,more,med,high,vgood
719,high,med,4,4,big,high,acc
927,med,vhigh,4,4,small,low,unacc
1042,med,high,4,4,big,med,acc
715,high,med,4,4,med,med,acc
1714,low,low,5more,4,med,med,good
1285,med,low,5more,4,big,med,good
1125,med,med,3,more,small,low,unacc
691,high,med,3,4,big,med,acc
584,high,high,3,4,big,high,acc
17,vhigh,vhigh,2,4,big,high,unacc
89,vhigh,vhigh,5more,2,big,high,unacc
591,high,high,3,more,big,low,unacc
1649,low,low,3,2,small,high,unacc
293,vhigh,med,4,more,med,high,acc
656,high,med,2,2,big,high,unacc
753,high,med,5more,more,big,low,unacc
1373,low,vhigh,4,more,med,high,acc
445,high,vhigh,2,4,med,med,unacc
607,high,high,4,4,med,med,acc
172,vhigh,high,4,4,small,med,unacc
1487,low,high,5more,2,small,high,unacc
1680,low,low,4,2,big,low,unacc
1659,low,low,3,4,med,low,unacc
1672,low,low,3,more,big,med,good
827,high,low,4,4,big,high,acc
749,high,med,5more,more,small,high,acc
1512,low,med,2,2,small,low,unacc
1433,low,high,3,2,small,high,unacc
98,vhigh,vhigh,5more,4,big,high,unacc
831,high,low,4,more,med,low,unacc
1629,low,low,2,4,small,low,unacc
647,high,high,5more,more,big,high,acc
79,vhigh,vhigh,4,more,big,med,unacc
1628,low,low,2,2,big,high,unacc
263,vhigh,med,3,more,small,high,acc
14,vhigh,vhigh,2,4,med,high,unacc
332,vhigh,low,2,2,big,high,unacc
1513,low,med,2,2,small,med,unacc
1400,low,vhigh,5more,more,med,high,acc
1138,med,med,4,2,med,med,unacc
1625,low,low,2,2,med,high,unacc
1297,low,vhigh,2,2,small,med,unacc
1679,low,low,4,2,med,high,unacc
1530,low,med,2,more,small,low,unacc
1337,low,vhigh,3,4,med,high,acc
303,vhigh,med,5more,2,big,low,unacc
220,vhigh,med,2,2,med,med,unacc
1188,med,low,2,2,small,low,unacc
1262,med,low,4,more,small,high,good
706,high,med,4,2,med,med,unacc
1228,med,low,3,4,med,med,acc
851,high,low,5more,4,med,high,acc
195,vhigh,high,5more,2,big,low,unacc
1195,med,low,2,2,big,med,unacc
86,vhigh,vhigh,5more,2,med,high,unacc
896,med,vhigh,3,2,med,high,unacc
1683,low,low,4,4,small,low,unacc
798,high,low,3,4,big,low,unacc
1460,low,high,4,2,small,high,unacc
1102,med,med,2,more,med,med,acc
728,high,med,4,more,big,high,acc
878,med,vhigh,2,4,med,high,acc
400,vhigh,low,4,more,med,med,acc
194,vhigh,high,5more,2,med,high,unacc
185,vhigh,high,4,more,med,high,unacc
654,high,med,2,2,big,low,unacc
828,high,low,4,more,small,low,unacc
404,vhigh,low,4,more,big,high,acc
336,vhigh,low,2,4,med,low,unacc
1192,med,low,2,2,med,med,unacc
93,vhigh,vhigh,5more,4,med,low,unacc
1623,low,low,2,2,med,low,unacc
323,vhigh,med,5more,more,big,high,acc
1684,low,low,4,4,small,med,acc
1395,low,vhigh,5more,more,small,low,unacc
105,vhigh,vhigh,5more,more,big,low,unacc
1281,med,low,5more,4,med,low,unacc
85,vhigh,vhigh,5more,2,med,med,unacc
712,high,med,4,4,small,med,unacc
250,vhigh,med,3,2,big,med,unacc
420,vhigh,low,5more,4,big,low,unacc
1056,med,high,5more,2,med,low,unacc
663,high,med,2,4,big,low,unacc
83,vhigh,vhigh,5more,2,small,high,unacc
1721,low,low,5more,more,small,high,good
891,med,vhigh,3,2,small,low,unacc
178,vhigh,high,4,4,big,med,unacc
16,vhigh,vhigh,2,4,big,med,unacc
1350,low,vhigh,4,2,small,low,unacc
415,vhigh,low,5more,4,small,med,unacc
1219,med,low,3,2,med,med,unacc
1657,low,low,3,4,small,med,acc
519,high,vhigh,5more,2,big,low,unacc
1267,med,low,4,more,big,med,good
1291,med,low,5more,more,med,med,good
1339,low,vhigh,3,4,big,med,acc
501,high,vhigh,4,4,big,low,unacc
904,med,vhigh,3,4,med,med,unacc
917,med,vhigh,3,more,big,high,acc
1296,low,vhigh,2,2,small,low,unacc
902,med,vhigh,3,4,small,high,acc
63,vhigh,vhigh,4,4,small,low,unacc
1401,low,vhigh,5more,more,big,low,unacc
22,vhigh,vhigh,2,more,med,med,unacc
196,vhigh,high,5more,2,big,med,unacc
1634,low,low,2,4,med,high,good
466,high,vhigh,3,2,big,med,unacc
309,vhigh,med,5more,4,med,low,unacc
634,high,high,5more,4,med,med,acc
441,high,vhigh,2,4,small,low,unacc
1384,low,vhigh,5more,2,big,med,unacc
330,vhigh,low,2,2,big,low,unacc
1000,med,high,3,2,small,med,unacc
1072,med,high,5more,more,small,med,unacc
