,precio_compra,precio_mto,n_puertas,n_personas,t_maletero,nivel_seguridad,aceptabilidad
0,vhigh,vhigh,2,2,small,low,unacc
1,vhigh,vhigh,2,2,small,med,unacc
2,vhigh,vhigh,2,2,small,high,unacc
3,vhigh,vhigh,2,2,med,low,unacc
4,vhigh,vhigh,2,2,med,med,unacc
6,vhigh,vhigh,2,2,big,low,unacc
9,vhigh,vhigh,2,4,small,low,unacc
10,vhigh,vhigh,2,4,small,med,unacc
11,vhigh,vhigh,2,4,small,high,unacc
12,vhigh,vhigh,2,4,med,low,unacc
13,vhigh,vhigh,2,4,med,med,unacc
18,vhigh,vhigh,2,more,small,low,unacc
19,vhigh,vhigh,2,more,small,med,unacc
20,vhigh,vhigh,2,more,small,high,unacc
21,vhigh,vhigh,2,more,med,low,unacc
23,vhigh,vhigh,2,more,med,high,unacc
24,vhigh,vhigh,2,more,big,low,unacc
26,vhigh,vhigh,2,more,big,high,unacc
27,vhigh,vhigh,3,2,small,low,unacc
28,vhigh,vhigh,3,2,small,med,unacc
30,vhigh,vhigh,3,2,med,low,unacc
32,vhigh,vhigh,3,2,med,high,unacc
34,vhigh,vhigh,3,2,big,med,unacc
35,vhigh,vhigh,3,2,big,high,unacc
36,vhigh,vhigh,3,4,small,low,unacc
37,vhigh,vhigh,3,4,small,med,unacc
38,vhigh,vhigh,3,4,small,high,unacc
40,vhigh,vhigh,3,4,med,med,unacc
41,vhigh,vhigh,3,4,med,high,unacc
42,vhigh,vhigh,3,4,big,low,unacc
43,vhigh,vhigh,3,4,big,med,unacc
44,vhigh,vhigh,3,4,big,high,unacc
45,vhigh,vhigh,3,more,small,low,unacc
46,vhigh,vhigh,3,more,small,med,unacc
47,vhigh,vhigh,3,more,small,high,unacc
48,vhigh,vhigh,3,more,med,low,unacc
49,vhigh,vhigh,3,more,med,med,unacc
50,vhigh,vhigh,3,more,med,high,unacc
52,vhigh,vhigh,3,more,big,med,unacc
53,vhigh,vhigh,3,more,big,high,unacc
54,vhigh,vhigh,4,2,small,low,unacc
55,vhigh,vhigh,4,2,small,med,unacc
56,vhigh,vhigh,4,2,small,high,unacc
57,vhigh,vhigh,4,2,med,low,unacc
58,vhigh,vhigh,4,2,med,med,unacc
59,vhigh,vhigh,4,2,med,high,unacc
60,vhigh,vhigh,4,2,big,low,unacc
61,vhigh,vhigh,4,2,big,med,unacc
62,vhigh,vhigh,4,2,big,high,unacc
64,vhigh,vhigh,4,4,small,med,unacc
65,vhigh,vhigh,4,4,small,high,unacc
66,vhigh,vhigh,4,4,med,low,unacc
67,vhigh,vhigh,4,4,med,med,unacc
69,vhigh,vhigh,4,4,big,low,unacc
70,vhigh,vhigh,4,4,big,med,unacc
71,vhigh,vhigh,4,4,big,high,unacc
72,vhigh,vhigh,4,more,small,low,unacc
73,vhigh,vhigh,4,more,small,med,unacc
75,vhigh,vhigh,4,more,med,low,unacc
77,vhigh,vhigh,4,more,med,high,unacc
80,vhigh,vhigh,4,more,big,high,unacc
81,vhigh,vhigh,5more,2,small,low,unacc
84,vhigh,vhigh,5more,2,med,low,unacc
88,vhigh,vhigh,5more,2,big,med,unacc
91,vhigh,vhigh,5more,4,small,med,unacc
92,vhigh,vhigh,5more,4,small,high,unacc
94,vhigh,vhigh,5more,4,med,med,unacc
95,vhigh,vhigh,5more,4,med,high,unacc
96,vhigh,vhigh,5more,4,big,low,unacc
97,vhigh,vhigh,5more,4,big,med,unacc
99,vhigh,vhigh,5more,more,small,low,unacc
103,vhigh,vhigh,5more,more,med,med,unacc
104,vhigh,vhigh,5more,more,med,high,unacc
106,vhigh,vhigh,5more,more,big,med,unacc
107,vhigh,vhigh,5more,more,big,high,unacc
108,vhigh,high,2,2,small,low,unacc
109,vhigh,high,2,2,small,med,unacc
110,vhigh,high,2,2,small,high,unacc
111,vhigh,high,2,2,med,low,unacc
112,vhigh,high,2,2,med,med,unacc
113,vhigh,high,2,2,med,high,unacc
114,vhigh,high,2,2,big,low,unacc
115,vhigh,high,2,2,big,med,unacc
116,vhigh,high,2,2,big,high,unacc
117,vhigh,high,2,4,small,low,unacc
120,vhigh,high,2,4,med,low,unacc
121,vhigh,high,2,4,med,med,unacc
122,vhigh,high,2,4,med,high,unacc
123,vhigh,high,2,4,big,low,unacc
125,vhigh,high,2,4,big,high,unacc
126,vhigh,high,2,more,small,low,unacc
128,vhigh,high,2,more,small,high,unacc
129,vhigh,high,2,more,med,low,unacc
130,vhigh,high,2,more,med,med,unacc
131,vhigh,high,2,more,med,high,unacc
132,vhigh,high,2,more,big,low,unacc
133,vhigh,high,2,more,big,med,unacc
135,vhigh,high,3,2,small,low,unacc
136,vhigh,high,3,2,small,med,unacc
137,vhigh,high,3,2,small,high,unacc
138,vhigh,high,3,2,med,low,unacc
141,vhigh,high,3,2,big,low,unacc
142,vhigh,high,3,2,big,med,unacc
143,vhigh,high,3,2,big,high,unacc
144,vhigh,high,3,4,small,low,unacc
145,vhigh,high,3,4,small,med,unacc
147,vhigh,high,3,4,med,low,unacc
148,vhigh,high,3,4,med,med,unacc
149,vhigh,high,3,4,med,high,unacc
150,vhigh,high,3,4,big,low,unacc
152,vhigh,high,3,4,big,high,unacc
154,vhigh,high,3,more,small,med,unacc
156,vhigh,high,3,more,med,low,unacc
158,vhigh,high,3,more,med,high,unacc
160,vhigh,high,3,more,big,med,unacc
162,vhigh,high,4,2,small,low,unacc
163,vhigh,high,4,2,small,med,unacc
164,vhigh,high,4,2,small,high,unacc
165,vhigh,high,4,2,med,low,unacc
166,vhigh,high,4,2,med,med,unacc
167,vhigh,high,4,2,med,high,unacc
