,industrial_risk,management_risk,financial_flexibility,credibility,competitiveness,operating_risk,target
1,N,N,A,A,A,N,NB
2,A,A,A,A,A,A,NB
3,P,P,P,P,P,P,NB
4,N,N,P,P,P,N,NB
5,A,A,P,P,P,A,NB
6,P,P,A,P,P,P,NB
7,P,P,P,A,A,P,NB
8,P,P,A,P,A,P,NB
9,P,P,A,A,P,P,NB
11,P,P,P,A,P,P,NB
13,N,N,P,A,A,N,NB
14,N,N,A,P,A,N,NB
16,N,N,A,A,P,N,NB
17,N,N,P,P,A,N,NB
18,N,N,P,A,P,N,NB
21,A,A,A,P,A,A,NB
23,A,A,P,P,A,A,NB
24,A,A,P,A,P,A,NB
25,P,N,A,A,A,P,NB
26,N,P,A,A,A,N,NB
27,P,N,A,A,A,N,NB
29,N,P,P,P,P,N,NB
30,P,N,P,P,P,N,NB
31,N,N,A,P,P,P,NB
32,P,N,P,A,A,P,NB
33,N,P,A,P,A,P,NB
34,N,P,A,A,P,N,NB
38,A,P,P,A,A,A,NB
39,A,A,A,P,A,P,NB
41,N,A,P,P,P,N,NB
42,A,N,P,A,P,N,NB
43,A,P,P,A,P,N,NB
45,N,N,P,P,P,P,NB
46,P,A,P,P,P,N,NB
47,A,P,P,P,P,N,NB
48,A,N,N,A,P,P,NB
50,P,A,P,A,P,N,NB
51,A,N,A,A,P,P,NB
52,A,N,A,A,P,N,NB
53,A,N,A,A,P,A,NB
54,A,A,N,P,P,A,NB
55,A,A,N,P,P,P,NB
56,A,P,P,P,P,P,NB
57,A,P,A,A,A,P,NB
58,N,P,N,P,P,A,NB
59,N,N,P,P,P,A,NB
63,A,N,N,P,P,A,NB
66,P,A,P,N,P,N,NB
67,P,A,N,A,P,N,NB
68,P,P,P,A,P,N,NB
70,P,A,A,P,P,N,NB
72,P,A,P,A,P,P,NB
73,P,P,A,A,P,N,NB
74,A,A,A,A,A,P,NB
75,P,P,A,P,P,N,NB
76,A,P,N,P,A,P,NB
80,P,A,A,A,P,A,NB
81,A,P,A,P,A,P,NB
83,P,A,A,N,P,P,NB
87,P,N,A,N,A,P,NB
89,A,A,A,P,P,A,NB
91,P,A,A,P,P,P,NB
108,P,P,A,A,A,P,NB
120,N,N,A,P,P,N,NB
128,A,A,P,A,A,A,NB
136,P,N,P,P,P,P,NB
144,P,N,N,N,N,N,B
145,N,P,N,N,N,N,B
147,N,N,N,N,N,N,B
148,N,N,N,A,N,A,B
149,N,N,N,N,N,P,B
150,N,N,N,N,N,A,B
151,N,N,N,A,N,P,B
152,N,N,N,A,N,N,B
153,N,N,A,N,N,N,B
157,P,N,N,N,A,A,B
158,A,N,N,N,N,A,B
160,A,A,N,N,N,P,B
161,A,N,N,N,N,N,B
162,P,A,N,N,N,A,B
163,P,N,N,N,N,P,B
164,P,A,N,N,N,N,B
166,N,A,N,N,N,P,B
169,A,A,N,N,N,N,B
170,P,P,N,N,N,N,B
171,A,P,N,N,N,N,B
178,A,P,N,A,N,N,B
179,N,N,N,P,N,P,B
182,N,N,N,P,N,N,B
215,N,A,P,A,N,P,B
234,N,A,N,N,N,N,B
