,industrial_risk,management_risk,financial_flexibility,credibility,competitiveness,operating_risk,target
1,N,N,A,A,A,N,NB
2,A,A,A,A,A,A,NB
3,P,P,P,P,P,P,NB
4,N,N,P,P,P,N,NB
5,A,A,P,P,P,A,NB
6,P,P,A,P,P,P,NB
7,P,P,P,A,A,P,NB
8,P,P,A,P,A,P,NB
9,P,P,A,A,P,P,NB
11,P,P,P,A,P,P,NB
13,N,N,P,A,A,N,NB
14,N,N,A,P,A,N,NB
15,N,N,A,P,A,N,NB
16,N,N,A,A,P,N,NB
17,N,N,P,P,A,N,NB
18,N,N,P,A,P,N,NB
21,A,A,A,P,A,A,NB
23,A,A,P,P,A,A,NB
24,A,A,P,A,P,A,NB
25,P,N,A,A,A,P,NB
26,N,P,A,A,A,N,NB
27,P,N,A,A,A,N,NB
29,N,P,P,P,P,N,NB
30,P,N,P,P,P,N,NB
31,N,N,A,P,P,P,NB
32,P,N,P,A,A,P,NB
33,N,P,A,P,A,P,NB
34,N,P,A,A,P,N,NB
38,A,P,P,A,A,A,NB
39,A,A,A,P,A,P,NB
41,N,A,P,P,P,N,NB
42,A,N,P,A,P,N,NB
43,A,P,P,A,P,N,NB
45,N,N,P,P,P,P,NB
46,P,A,P,P,P,N,NB
47,A,P,P,P,P,N,NB
48,A,N,N,A,P,P,NB
50,P,A,P,A,P,N,NB
51,A,N,A,A,P,P,NB
52,A,N,A,A,P,N,NB
53,A,N,A,A,P,A,NB
54,A,A,N,P,P,A,NB
55,A,A,N,P,P,P,NB
56,A,P,P,P,P,P,NB
57,A,P,A,A,A,P,NB
58,N,P,N,P,P,A,NB
59,N,N,P,P,P,A,NB
63,A,N,N,P,P,A,NB
66,P,A,P,N,P,N,NB
67,P,A,N,A,P,N,NB
68,P,P,P,A,P,N,NB
69,P,A,P,N,P,N,NB
70,P,A,A,P,P,N,NB
71,P,P,A,P,P,P,NB
72,P,A,P,A,P,P,NB
73,P,P,A,A,P,N,NB
74,A,A,A,A,A,P,NB
75,P,P,A,P,P,N,NB
76,A,P,N,P,A,P,NB
79,A,P,N,P,A,P,NB
80,P,A,A,A,P,A,NB
81,A,P,A,P,A,P,NB
82,A,P,P,P,P,P,NB
83,P,A,A,N,P,P,NB
84,A,P,A,A,A,P,NB
86,N,P,N,P,P,A,NB
87,P,N,A,N,A,P,NB
89,A,A,A,P,P,A,NB
91,P,A,A,P,P,P,NB
92,A,N,N,P,P,A,NB
95,P,P,P,A,P,N,NB
96,P,A,P,N,P,N,NB
98,P,P,A,P,P,P,NB
99,P,A,P,A,P,P,NB
101,A,A,A,A,A,P,NB
103,A,P,N,P,A,P,NB
106,A,P,N,P,A,P,NB
108,P,P,A,A,A,P,NB
110,A,A,A,A,A,A,NB
112,N,N,P,P,P,N,NB
113,A,A,P,P,P,A,NB
114,P,P,A,P,P,P,NB
115,P,P,P,A,A,P,NB
116,P,P,A,P,A,P,NB
117,P,P,A,A,P,P,NB
119,P,P,P,A,P,P,NB
120,N,N,A,P,P,N,NB
121,N,N,P,A,A,N,NB
122,N,N,A,P,A,N,NB
123,N,N,A,P,A,N,NB
124,N,N,A,A,P,N,NB
126,N,N,P,A,P,N,NB
127,A,A,A,P,P,A,NB
128,A,A,P,A,A,A,NB
129,A,A,A,P,A,A,NB
131,A,A,P,P,A,A,NB
132,A,A,P,A,P,A,NB
134,N,P,A,A,A,N,NB
136,P,N,P,P,P,P,NB
137,N,P,P,P,P,N,NB
138,P,N,P,P,P,N,NB
139,N,N,A,P,P,P,NB
140,P,N,P,A,A,P,NB
144,P,N,N,N,N,N,B
145,N,P,N,N,N,N,B
147,N,N,N,N,N,N,B
148,N,N,N,A,N,A,B
149,N,N,N,N,N,P,B
150,N,N,N,N,N,A,B
151,N,N,N,A,N,P,B
152,N,N,N,A,N,N,B
153,N,N,A,N,N,N,B
154,P,N,N,N,N,N,B
156,N,N,N,N,N,N,B
157,P,N,N,N,A,A,B
158,A,N,N,N,N,A,B
159,A,N,N,N,N,A,B
160,A,A,N,N,N,P,B
161,A,N,N,N,N,N,B
162,P,A,N,N,N,A,B
163,P,N,N,N,N,P,B
164,P,A,N,N,N,N,B
165,P,N,N,N,N,N,B
166,N,A,N,N,N,P,B
167,N,N,N,N,N,A,B
169,A,A,N,N,N,N,B
170,P,P,N,N,N,N,B
171,A,P,N,N,N,N,B
173,A,N,N,N,N,N,B
174,N,N,N,N,N,N,B
176,P,N,N,N,N,N,B
177,N,P,N,N,N,N,B
178,A,P,N,A,N,N,B
179,N,N,N,P,N,P,B
180,N,N,N,N,N,N,B
181,N,N,N,A,N,A,B
182,N,N,N,P,N,N,B
183,N,N,N,N,N,P,B
184,N,N,N,N,N,A,B
185,N,N,N,A,N,P,B
186,N,N,N,A,N,N,B
187,N,N,A,N,N,N,B
188,P,N,N,N,N,N,B
189,A,N,N,N,N,N,B
192,P,N,N,N,A,A,B
194,N,N,N,N,N,A,B
195,N,P,N,N,N,N,B
196,A,P,N,A,N,N,B
197,N,N,N,N,N,N,B
198,N,N,N,A,N,A,B
199,N,N,N,P,N,N,B
202,N,N,N,A,N,P,B
203,P,N,N,N,N,P,B
204,P,A,N,N,N,N,B
207,N,N,N,N,N,A,B
208,A,A,N,N,N,N,B
209,A,A,N,N,N,N,B
210,N,N,N,A,N,N,B
211,N,N,A,N,N,N,B
212,P,N,N,N,N,N,B
213,A,N,N,N,N,N,B
214,N,N,N,N,N,N,B
215,N,A,P,A,N,P,B
216,P,N,N,N,N,N,B
218,N,N,N,N,N,A,B
219,A,A,N,N,N,N,B
220,A,A,N,N,N,P,B
221,A,N,N,N,N,N,B
222,P,A,N,N,N,A,B
223,P,N,N,N,N,P,B
224,P,A,N,N,N,N,B
225,P,N,N,N,N,N,B
226,N,A,N,N,N,P,B
227,N,N,N,N,N,A,B
228,A,A,N,N,N,N,B
232,A,N,N,N,N,N,B
233,N,N,N,N,N,N,B
234,N,A,N,N,N,N,B
235,A,N,N,N,N,A,B
236,P,N,N,N,N,N,B
237,N,P,N,N,N,N,B
238,A,P,N,A,N,N,B
241,N,N,N,N,N,P,B
242,N,N,N,N,N,A,B
244,N,N,N,A,N,N,B
245,N,N,A,N,N,N,B
246,P,N,N,N,N,N,B
249,P,N,N,N,A,A,B
