,mpg,cilindros,desplazamiento,caballos,peso,aceleracion,any_modelo,origen,nombre_auto
256,20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare
235,26.0,4,97.0,75.00,2265.0,18.2,77,3,toyota corolla liftback
244,43.1,4,90.0,48.00,1985.0,21.5,78,2,volkswagen rabbit custom diesel
118,24.0,4,116.0,75.00,2158.0,15.5,73,2,opel manta
302,34.5,4,105.0,70.00,2150.0,14.9,79,1,plymouth horizon tc3
13,14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw)
72,15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw)
367,28.0,4,112.0,88.00,2605.0,19.6,82,1,chevrolet cavalier
265,17.5,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe
2,18.0,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite
45,18.0,6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw)
20,25.0,4,110.0,87.00,2672.0,17.5,70,2,peugeot 504
389,22.0,6,232.0,112.0,2835.0,14.7,82,1,ford granada l
226,20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark
35,17.0,6,250.0,100.0,3329.0,15.5,71,1,chevrolet chevelle malibu
243,21.5,3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4
357,32.9,4,119.0,100.0,2615.0,14.8,81,3,datsun 200sx
355,33.7,4,107.0,75.00,2210.0,14.4,81,3,honda prelude
85,13.0,8,350.0,175.0,4100.0,13.0,73,1,buick century 350
191,22.0,6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant
390,32.0,4,144.0,96.00,2665.0,13.9,82,3,toyota celica gt
155,15.0,6,250.0,72.00,3158.0,19.5,75,1,ford maverick
141,29.0,4,98.0,83.00,2219.0,16.5,74,2,audi fox
96,13.0,8,360.0,175.0,3821.0,11.0,73,1,amc ambassador brougham
124,11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega
89,15.0,8,318.0,150.0,3777.0,12.5,73,1,dodge coronet custom
202,17.5,6,258.0,95.00,3193.0,17.8,76,1,amc pacer d/l
63,14.0,8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina
73,13.0,8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw)
224,15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham
55,27.0,4,97.0,60.00,1834.0,19.0,71,2,volkswagen model 111
298,23.0,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado
371,29.0,4,135.0,84.00,2525.0,16.0,82,1,dodge aries se
189,15.5,8,304.0,120.0,3962.0,13.9,76,1,amc matador
340,25.8,4,156.0,92.00,2620.0,14.4,81,1,dodge aries wagon (sw)
101,23.0,6,198.0,95.00,2904.0,16.0,73,1,plymouth duster
188,16.0,8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham
163,18.0,6,225.0,95.00,3785.0,19.0,75,1,plymouth fury
122,24.0,4,121.0,110.0,2660.0,14.0,73,2,saab 99le
248,36.1,4,91.0,60.00,1800.0,16.4,78,3,honda civic cvcc
157,15.0,8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air
379,36.0,4,98.0,70.00,2125.0,17.3,82,1,mercury lynx l
360,30.7,6,145.0,76.00,3160.0,19.6,81,2,volvo diesel
324,40.8,4,85.0,65.00,2110.0,19.2,80,3,datsun 210
