,mpg,cilindros,desplazamiento,caballos,peso,aceleracion,any_modelo,origen,nombre_auto
1,15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320
3,16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst
5,15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500
6,14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala
7,14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii
8,14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina
9,15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl
11,14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340
12,15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo
15,22.0,6,198.0,95.00,2833.0,15.5,70,1,plymouth duster
16,18.0,6,199.0,97.00,2774.0,15.5,70,1,amc hornet
17,21.0,6,200.0,85.00,2587.0,16.0,70,1,ford maverick
18,27.0,4,97.0,88.00,2130.0,14.5,70,3,datsun pl510
21,24.0,4,107.0,90.00,2430.0,14.5,70,2,audi 100 ls
22,25.0,4,104.0,95.00,2375.0,17.5,70,2,saab 99e
24,21.0,6,199.0,90.00,2648.0,15.0,70,1,amc gremlin
25,10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250
26,10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20
27,11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200
28,9.0,8,304.0,193.0,4732.0,18.5,70,1,hi 1200d
30,28.0,4,140.0,90.00,2264.0,15.5,71,1,chevrolet vega 2300
32,25.0,4,98.0,?,2046.0,19.0,71,1,ford pinto
34,16.0,6,225.0,105.0,3439.0,15.5,71,1,plymouth satellite custom
36,19.0,6,250.0,88.00,3302.0,15.5,71,1,ford torino 500
37,18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador
38,14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala
39,14.0,8,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham
40,14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500
43,13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw)
44,13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw)
46,22.0,4,140.0,72.00,2408.0,19.0,71,1,chevrolet vega (sw)
47,19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird
49,23.0,4,122.0,86.00,2220.0,14.0,71,1,mercury capri 2000
50,28.0,4,116.0,90.00,2123.0,14.0,71,2,opel 1900
52,30.0,4,88.0,76.00,2065.0,14.5,71,2,fiat 124b
53,31.0,4,71.0,65.00,1773.0,19.0,71,3,toyota corolla 1200
54,35.0,4,72.0,69.00,1613.0,18.0,71,3,datsun 1200
57,24.0,4,113.0,95.00,2278.0,15.5,72,3,toyota corona hardtop
58,25.0,4,97.5,80.00,2126.0,17.0,72,1,dodge colt hardtop
59,23.0,4,97.0,54.00,2254.0,23.5,72,2,volkswagen type 3
60,20.0,4,140.0,90.00,2408.0,19.5,72,1,chevrolet vega
61,21.0,4,122.0,86.00,2226.0,16.5,72,1,ford pinto runabout
